,player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship_x,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,Age_2020,Position_2020,fm_player_index,Unnamed: 0,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,Preferred Foot,Best Pos,Best Role,Value,Wage,CA,PA,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,country_of_citizenship_y,Transfermarkt_Name,value_2022,date,market_value,value_2020,value_diff
1839,560903,2021,1465,patrick-william,Patrick William,Brazil,Brazil,1997-06-03,Defender,Defender - Centre-Back,Right,187,900000.0,1800000.0,https://www.transfermarkt.co.uk/patrick-william/profil/spieler/560903,22,0,472,2329,Patrick William,D (C),FamalicÃ£o,Portuguese Premier League,Portugal (Premier League),BRA,185,78,22,Right,D (C),BPD,1700000,1800,121,145,14,9,1,11,13,14,13,12,1,3,2,13,8,13,13,1,8,12,14,9,9,10,3,12,12,3,13,8,11,9,2,11,15,12,8,6,11,12,1,1,13,13,11,12,12,3,12,Brazil,patrick-william,900000.0,2019-10-11,900000,900000,0.0
1840,552628,2021,3329,hernan-de-la-fuente,Hernan De La Fuente,Argentina,Argentina,1997-01-07,Defender,Defender - Right-Back,Right,178,900000.0,1620000.0,https://www.transfermarkt.co.uk/hernan-de-la-fuente/profil/spieler/552628,22,0,33803,9029,HernÃ¡n De La Fuente,D/WB (R),VÃ©lez,Argentine Premier Division,Argentina (Premier Division),ARG,177,73,22,Right,D (R),CWB,2000000,3600,118,130,14,12,1,12,14,10,10,15,2,2,2,9,10,13,15,1,13,15,11,14,11,5,2,9,8,3,7,9,12,6,1,11,13,12,9,7,9,13,3,4,13,13,13,15,13,2,14,Argentina,hernan-de-la-fuente,900000.0,2019-08-06,1580000,1580000,-680000.0
1841,81785,2021,475,shinji-kagawa,Shinji Kagawa,Japan,Japan,1989-03-17,Attack,midfield - Attacking Midfield,Right,175,900000.0,19800000.0,https://www.transfermarkt.co.uk/shinji-kagawa/profil/spieler/81785,30,2,69866,669,Shinji Kagawa,AM (C),Zaragoza,Spanish Second Division,Spain (Second Division),JPN,175,68,30,Either,AM (C),AP,10250000,23500,140,157,14,15,1,16,14,8,6,11,3,2,3,8,10,15,13,3,16,10,4,4,12,5,1,8,10,2,9,17,16,13,1,15,14,15,12,10,10,15,2,2,7,8,13,15,11,2,13,Japan,shinji-kagawa,900000.0,2019-09-10,3600000,3600000,-2700000.0
1842,357148,2021,3329,diogo-queiros,Diogo Queiros,Portugal,Portugal,1999-01-05,Defender,Defender - Centre-Back,Right,185,900000.0,3600000.0,https://www.transfermarkt.co.uk/diogo-queiros/profil/spieler/357148,20,0,22657,689,Diogo QueirÃ³s,D (C),Mouscron,Belgian Pro League A,Belgium (Pro League A),POR,185,80,20,Right,D (C),CD,950000,3200,114,156,13,8,3,10,13,13,13,14,2,1,4,13,12,10,11,1,7,16,14,4,5,13,2,13,12,1,5,4,10,5,1,8,15,13,4,4,14,12,1,3,14,13,12,11,14,1,10,Portugal,diogo-queiros,900000.0,2019-12-13,3600000,3600000,-2700000.0
1843,77812,2021,1123,christoph-zimmermann,Christoph Zimmermann,Germany,Germany,1993-01-12,Defender,Defender - Centre-Back,Right,194,900000.0,3150000.0,https://www.transfermarkt.co.uk/christoph-zimmermann/profil/spieler/77812,26,0,19425,4251,Christoph Zimmermann,D (C),Norwich,Sky Bet Championship,England (Sky Bet Championship),GER,194,92,26,Right Only,D (C),CD,9500000,19000,129,138,14,11,1,9,15,14,14,14,2,2,3,14,6,13,12,1,7,8,15,8,6,16,3,17,16,3,4,4,11,7,3,6,13,12,4,3,12,13,1,2,16,14,13,9,12,3,12,Germany,christoph-zimmermann,900000.0,2019-12-10,3150000,3150000,-2250000.0
1844,569349,2021,167,frederik-winther,Frederik Winther,Denmark,Denmark,2001-01-04,Defender,Defender - Centre-Back,Left,186,900000.0,900000.0,https://www.transfermarkt.co.uk/frederik-winther/profil/spieler/569349,18,0,46814,7612,Frederik Winther,D (C),Lyngby,3F Superliga,Denmark (3F Superliga),DEN,186,70,18,Left,D (C),BPD,250000,875,104,132,10,13,3,11,15,12,11,11,1,1,2,14,8,12,10,3,10,12,12,9,5,11,4,13,12,2,6,5,12,5,2,8,12,13,6,6,11,14,2,3,13,10,12,9,11,1,8,Denmark,frederik-winther,900000.0,2019-09-09,360000,360000,540000.0
1845,124895,2021,265,bart-schenkeveld,Bart Schenkeveld,Netherlands,Netherlands,1991-08-28,Defender,Defender - Centre-Back,Right,184,900000.0,900000.0,https://www.transfermarkt.co.uk/bart-schenkeveld/profil/spieler/124895,28,0,31809,19706,Bart Schenkeveld,D (C),Panathinaikos,Greek Super League 1,Greece (Super League),NED,184,80,27,Right Only,D (C),BPD,1700000,3900,120,120,14,10,2,12,10,15,13,13,2,3,3,12,8,12,14,1,11,10,14,14,11,13,3,12,13,3,8,8,11,4,2,12,12,13,8,3,10,13,3,3,14,10,13,13,12,1,13,Netherlands,bart-schenkeveld,900000.0,2019-09-23,720000,720000,180000.0
1846,358032,2021,202,cyril-ngonge,Cyril Ngonge,Belgium,Belgium,2000-05-26,Attack,attack - Right Winger,Left,179,900000.0,1260000.0,https://www.transfermarkt.co.uk/cyril-ngonge/profil/spieler/358032,19,2,5861,7530,Cyril NgongÃ©,"M (L), AM (RLC), ST (C)",PSV,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie),BEL,174,70,19,Left,AM (L),W,525000,1700,103,132,10,5,3,10,10,5,8,10,3,2,1,4,7,10,15,2,8,8,5,10,7,4,2,8,6,3,7,11,10,10,3,13,12,8,8,8,10,8,3,2,14,10,8,12,15,2,16,Belgium,cyril-ngonge,900000.0,2020-04-08,563000,563000,337000.0
1847,468244,2021,10484,rayane-aabid,Rayane Aabid,France,France,1992-01-19,Midfield,midfield - Central Midfield,Right,178,900000.0,1350000.0,https://www.transfermarkt.co.uk/rayane-aabid/profil/spieler/468244,27,1,7597,52067,Rayane Aabid,M (RC),Hatayspor,Turkish Super League,Turkey (Super League),FRA,178,73,27,Right Only,M (C),AP,240000,2600,105,105,10,13,3,13,11,8,12,13,1,2,3,10,4,13,12,1,13,12,7,4,10,8,2,8,7,1,10,12,13,8,3,13,12,12,11,9,11,12,2,3,10,14,13,14,10,3,12,France,rayane-aabid,900000.0,2020-02-04,473000,473000,427000.0
1848,206734,2021,2282,matej-mitrovic,Matej Mitrovic,Croatia,Croatia,1993-11-10,Defender,Defender - Centre-Back,Right,187,900000.0,3600000.0,https://www.transfermarkt.co.uk/matej-mitrovic/profil/spieler/206734,26,0,49361,6138,Matej Mitrovic,D (C),Club Brugge,Belgian Pro League A,Belgium (Pro League A),CRO,187,85,25,Right,D (C),BPD,5250000,13000,126,135,9,12,3,12,14,14,15,15,2,1,2,13,7,12,12,2,11,12,13,7,7,10,1,14,14,2,5,9,12,6,2,10,13,11,7,5,10,13,1,2,10,13,13,11,12,1,11,Croatia,matej-mitrovic,900000.0,2019-12-13,2700000,2700000,-1800000.0
1849,203961,2021,2696,glenn-bijl,Glenn Bijl,Netherlands,Netherlands,1995-07-13,Defender,Defender - Right-Back,Right,180,900000.0,1080000.0,https://www.transfermarkt.co.uk/glenn-bijl/profil/spieler/203961,24,0,31767,11201,Glenn Bijl,"D/WB (R), DM, M (R)",FC Emmen,Eredivisie,Holland (Eredivisie),NED,184,74,23,Right Only,D (R),WB,2900000,1100,120,128,16,13,4,12,13,12,11,15,4,1,1,11,8,12,12,1,14,14,11,11,14,11,1,11,9,1,13,11,12,7,2,11,12,12,12,11,12,10,1,3,12,12,11,11,15,3,11,Netherlands,glenn-bijl,900000.0,2019-12-18,900000,900000,0.0
